,내용,점수,날짜
713,방금 개봉했는데 1점 준애는 뭐냐 ㅋㅋ 일본놈이냐? 이제 광고돌고 있을 시간이다.,10,2019.12.31 09:14
714,교과서에는 미드웨이 해전에서 미국이 승리했다고 한 줄로 서술되어 있지만 단순히 한 줄로 설명할 수 없는 파란만장했던 전쟁.,10,2019.12.31 19:58
715,스케일 겁나커서 보는내내 입벌리고 봣네욬ㅋㅋ재밋습니다,10,2019.12.31 09:29
716,안보면후회함 백두산보다낫다,10,2019.12.31 09:52
717,재밌으면 추천 재미없으면 비추천 눌러주십쇼 형님들,10,2019.12.31 09:01
718,일본의 최대 실수는 미국을 건드린거다 그 대가로 원폭 처맞고 멸망함ㅋㅋㅋ지금 하는 짓거리보면 아직 더 맞아야 될듯,10,2019.12.31 16:37
719,아니 에머리히 감독이 스토리에 고증을 철저히 지키다니 안믿긴다..(진짜 실제인물에 장면 하나하나가 거의 다 사실인건 솔직히 놀랍네요)(영화에 대한 팩트들)1.제작비는 500억이 아니라 1100억이고 2.소니가 진짜로 20년전에 미드웨이 영화화 반대했고3.평론가 평가가 안좋다?..진주만 보다 20점 높은 44점입니다.(전쟁 영화로써 좋은 점수입니다)4.고증이 안좋다?..스토리 고증은 정말 철저하고 전투기 등등의 디테일은 비슷하지만 완전 정확하진 않음5.중국이 나온다?:나옵니다..하지만 역사적 사실이고 일본은 당시에 미군을 도와준 중국을 보복했죠.(영화는 소니의 반대로 뒤늦게 20년만에 독립영화로 만들어졌는데 1100억의 제작비로 이정도로 강렬한 운명의 5분 미드웨이 해전을 보여준건 놀랍네요) ,8,2019.12.31 10:14
720,미드웨이가 재밌으면 추천 백두산이 재밌으면 비추,9,2019.12.31 09:48
721,저 해전이 있었기에 우리나라 광복도 가능 했음,10,2019.12.31 10:41
722,백두산 상영관 대폭줄이고 미드웨이 상영관 대폭늘려라,10,2019.12.31 09:38
723,방금 개봉했는데 1점 준애는 뭐냐 ㅋㅋ 일본놈이냐? 이제 광고돌고 있을 시간이다.,10,2019.12.31 09:14
724,교과서에는 미드웨이 해전에서 미국이 승리했다고 한 줄로 서술되어 있지만 단순히 한 줄로 설명할 수 없는 파란만장했던 전쟁.,10,2019.12.31 19:58
725,스케일 겁나커서 보는내내 입벌리고 봣네욬ㅋㅋ재밋습니다,10,2019.12.31 09:29
726,안보면후회함 백두산보다낫다,10,2019.12.31 09:52
727,재밌으면 추천 재미없으면 비추천 눌러주십쇼 형님들,10,2019.12.31 09:01
728,일본의 최대 실수는 미국을 건드린거다 그 대가로 원폭 처맞고 멸망함ㅋㅋㅋ지금 하는 짓거리보면 아직 더 맞아야 될듯,10,2019.12.31 16:37
729,아니 에머리히 감독이 스토리에 고증을 철저히 지키다니 안믿긴다..(진짜 실제인물에 장면 하나하나가 거의 다 사실인건 솔직히 놀랍네요)(영화에 대한 팩트들)1.제작비는 500억이 아니라 1100억이고 2.소니가 진짜로 20년전에 미드웨이 영화화 반대했고3.평론가 평가가 안좋다?..진주만 보다 20점 높은 44점입니다.(전쟁 영화로써 좋은 점수입니다)4.고증이 안좋다?..스토리 고증은 정말 철저하고 전투기 등등의 디테일은 비슷하지만 완전 정확하진 않음5.중국이 나온다?:나옵니다..하지만 역사적 사실이고 일본은 당시에 미군을 도와준 중국을 보복했죠.(영화는 소니의 반대로 뒤늦게 20년만에 독립영화로 만들어졌는데 1100억의 제작비로 이정도로 강렬한 운명의 5분 미드웨이 해전을 보여준건 놀랍네요) ,8,2019.12.31 10:14
730,미드웨이가 재밌으면 추천 백두산이 재밌으면 비추,9,2019.12.31 09:48
731,저 해전이 있었기에 우리나라 광복도 가능 했음,10,2019.12.31 10:41
732,백두산 상영관 대폭줄이고 미드웨이 상영관 대폭늘려라,10,2019.12.31 09:38
733,방금 개봉했는데 1점 준애는 뭐냐 ㅋㅋ 일본놈이냐? 이제 광고돌고 있을 시간이다.,10,2019.12.31 09:14
734,교과서에는 미드웨이 해전에서 미국이 승리했다고 한 줄로 서술되어 있지만 단순히 한 줄로 설명할 수 없는 파란만장했던 전쟁.,10,2019.12.31 19:58
735,스케일 겁나커서 보는내내 입벌리고 봣네욬ㅋㅋ재밋습니다,10,2019.12.31 09:29
736,안보면후회함 백두산보다낫다,10,2019.12.31 09:52
737,재밌으면 추천 재미없으면 비추천 눌러주십쇼 형님들,10,2019.12.31 09:01
738,일본의 최대 실수는 미국을 건드린거다 그 대가로 원폭 처맞고 멸망함ㅋㅋㅋ지금 하는 짓거리보면 아직 더 맞아야 될듯,10,2019.12.31 16:37
739,아니 에머리히 감독이 스토리에 고증을 철저히 지키다니 안믿긴다..(진짜 실제인물에 장면 하나하나가 거의 다 사실인건 솔직히 놀랍네요)(영화에 대한 팩트들)1.제작비는 500억이 아니라 1100억이고 2.소니가 진짜로 20년전에 미드웨이 영화화 반대했고3.평론가 평가가 안좋다?..진주만 보다 20점 높은 44점입니다.(전쟁 영화로써 좋은 점수입니다)4.고증이 안좋다?..스토리 고증은 정말 철저하고 전투기 등등의 디테일은 비슷하지만 완전 정확하진 않음5.중국이 나온다?:나옵니다..하지만 역사적 사실이고 일본은 당시에 미군을 도와준 중국을 보복했죠.(영화는 소니의 반대로 뒤늦게 20년만에 독립영화로 만들어졌는데 1100억의 제작비로 이정도로 강렬한 운명의 5분 미드웨이 해전을 보여준건 놀랍네요) ,8,2019.12.31 10:14
740,미드웨이가 재밌으면 추천 백두산이 재밌으면 비추,9,2019.12.31 09:48
741,저 해전이 있었기에 우리나라 광복도 가능 했음,10,2019.12.31 10:41
742,백두산 상영관 대폭줄이고 미드웨이 상영관 대폭늘려라,10,2019.12.31 09:38
743,방금 개봉했는데 1점 준애는 뭐냐 ㅋㅋ 일본놈이냐? 이제 광고돌고 있을 시간이다.,10,2019.12.31 09:14
744,교과서에는 미드웨이 해전에서 미국이 승리했다고 한 줄로 서술되어 있지만 단순히 한 줄로 설명할 수 없는 파란만장했던 전쟁.,10,2019.12.31 19:58
745,스케일 겁나커서 보는내내 입벌리고 봣네욬ㅋㅋ재밋습니다,10,2019.12.31 09:29
746,안보면후회함 백두산보다낫다,10,2019.12.31 09:52
747,재밌으면 추천 재미없으면 비추천 눌러주십쇼 형님들,10,2019.12.31 09:01
748,일본의 최대 실수는 미국을 건드린거다 그 대가로 원폭 처맞고 멸망함ㅋㅋㅋ지금 하는 짓거리보면 아직 더 맞아야 될듯,10,2019.12.31 16:37
749,아니 에머리히 감독이 스토리에 고증을 철저히 지키다니 안믿긴다..(진짜 실제인물에 장면 하나하나가 거의 다 사실인건 솔직히 놀랍네요)(영화에 대한 팩트들)1.제작비는 500억이 아니라 1100억이고 2.소니가 진짜로 20년전에 미드웨이 영화화 반대했고3.평론가 평가가 안좋다?..진주만 보다 20점 높은 44점입니다.(전쟁 영화로써 좋은 점수입니다)4.고증이 안좋다?..스토리 고증은 정말 철저하고 전투기 등등의 디테일은 비슷하지만 완전 정확하진 않음5.중국이 나온다?:나옵니다..하지만 역사적 사실이고 일본은 당시에 미군을 도와준 중국을 보복했죠.(영화는 소니의 반대로 뒤늦게 20년만에 독립영화로 만들어졌는데 1100억의 제작비로 이정도로 강렬한 운명의 5분 미드웨이 해전을 보여준건 놀랍네요) ,8,2019.12.31 10:14
750,미드웨이가 재밌으면 추천 백두산이 재밌으면 비추,9,2019.12.31 09:48
751,저 해전이 있었기에 우리나라 광복도 가능 했음,10,2019.12.31 10:41
752,백두산 상영관 대폭줄이고 미드웨이 상영관 대폭늘려라,10,2019.12.31 09:38
753,방금 개봉했는데 1점 준애는 뭐냐 ㅋㅋ 일본놈이냐? 이제 광고돌고 있을 시간이다.,10,2019.12.31 09:14
754,교과서에는 미드웨이 해전에서 미국이 승리했다고 한 줄로 서술되어 있지만 단순히 한 줄로 설명할 수 없는 파란만장했던 전쟁.,10,2019.12.31 19:58
755,스케일 겁나커서 보는내내 입벌리고 봣네욬ㅋㅋ재밋습니다,10,2019.12.31 09:29
756,안보면후회함 백두산보다낫다,10,2019.12.31 09:52
757,재밌으면 추천 재미없으면 비추천 눌러주십쇼 형님들,10,2019.12.31 09:01
758,일본의 최대 실수는 미국을 건드린거다 그 대가로 원폭 처맞고 멸망함ㅋㅋㅋ지금 하는 짓거리보면 아직 더 맞아야 될듯,10,2019.12.31 16:37
759,아니 에머리히 감독이 스토리에 고증을 철저히 지키다니 안믿긴다..(진짜 실제인물에 장면 하나하나가 거의 다 사실인건 솔직히 놀랍네요)(영화에 대한 팩트들)1.제작비는 500억이 아니라 1100억이고 2.소니가 진짜로 20년전에 미드웨이 영화화 반대했고3.평론가 평가가 안좋다?..진주만 보다 20점 높은 44점입니다.(전쟁 영화로써 좋은 점수입니다)4.고증이 안좋다?..스토리 고증은 정말 철저하고 전투기 등등의 디테일은 비슷하지만 완전 정확하진 않음5.중국이 나온다?:나옵니다..하지만 역사적 사실이고 일본은 당시에 미군을 도와준 중국을 보복했죠.(영화는 소니의 반대로 뒤늦게 20년만에 독립영화로 만들어졌는데 1100억의 제작비로 이정도로 강렬한 운명의 5분 미드웨이 해전을 보여준건 놀랍네요) ,8,2019.12.31 10:14
760,미드웨이가 재밌으면 추천 백두산이 재밌으면 비추,9,2019.12.31 09:48
761,저 해전이 있었기에 우리나라 광복도 가능 했음,10,2019.12.31 10:41
762,백두산 상영관 대폭줄이고 미드웨이 상영관 대폭늘려라,10,2019.12.31 09:38
763,방금 개봉했는데 1점 준애는 뭐냐 ㅋㅋ 일본놈이냐? 이제 광고돌고 있을 시간이다.,10,2019.12.31 09:14
764,교과서에는 미드웨이 해전에서 미국이 승리했다고 한 줄로 서술되어 있지만 단순히 한 줄로 설명할 수 없는 파란만장했던 전쟁.,10,2019.12.31 19:58
765,스케일 겁나커서 보는내내 입벌리고 봣네욬ㅋㅋ재밋습니다,10,2019.12.31 09:29
766,안보면후회함 백두산보다낫다,10,2019.12.31 09:52
767,재밌으면 추천 재미없으면 비추천 눌러주십쇼 형님들,10,2019.12.31 09:01
768,일본의 최대 실수는 미국을 건드린거다 그 대가로 원폭 처맞고 멸망함ㅋㅋㅋ지금 하는 짓거리보면 아직 더 맞아야 될듯,10,2019.12.31 16:37
769,아니 에머리히 감독이 스토리에 고증을 철저히 지키다니 안믿긴다..(진짜 실제인물에 장면 하나하나가 거의 다 사실인건 솔직히 놀랍네요)(영화에 대한 팩트들)1.제작비는 500억이 아니라 1100억이고 2.소니가 진짜로 20년전에 미드웨이 영화화 반대했고3.평론가 평가가 안좋다?..진주만 보다 20점 높은 44점입니다.(전쟁 영화로써 좋은 점수입니다)4.고증이 안좋다?..스토리 고증은 정말 철저하고 전투기 등등의 디테일은 비슷하지만 완전 정확하진 않음5.중국이 나온다?:나옵니다..하지만 역사적 사실이고 일본은 당시에 미군을 도와준 중국을 보복했죠.(영화는 소니의 반대로 뒤늦게 20년만에 독립영화로 만들어졌는데 1100억의 제작비로 이정도로 강렬한 운명의 5분 미드웨이 해전을 보여준건 놀랍네요) ,8,2019.12.31 10:14
770,미드웨이가 재밌으면 추천 백두산이 재밌으면 비추,9,2019.12.31 09:48
771,저 해전이 있었기에 우리나라 광복도 가능 했음,10,2019.12.31 10:41
772,백두산 상영관 대폭줄이고 미드웨이 상영관 대폭늘려라,10,2019.12.31 09:38
773,방금 개봉했는데 1점 준애는 뭐냐 ㅋㅋ 일본놈이냐? 이제 광고돌고 있을 시간이다.,10,2019.12.31 09:14
774,교과서에는 미드웨이 해전에서 미국이 승리했다고 한 줄로 서술되어 있지만 단순히 한 줄로 설명할 수 없는 파란만장했던 전쟁.,10,2019.12.31 19:58
775,스케일 겁나커서 보는내내 입벌리고 봣네욬ㅋㅋ재밋습니다,10,2019.12.31 09:29
776,안보면후회함 백두산보다낫다,10,2019.12.31 09:52
777,재밌으면 추천 재미없으면 비추천 눌러주십쇼 형님들,10,2019.12.31 09:01
778,일본의 최대 실수는 미국을 건드린거다 그 대가로 원폭 처맞고 멸망함ㅋㅋㅋ지금 하는 짓거리보면 아직 더 맞아야 될듯,10,2019.12.31 16:37
779,아니 에머리히 감독이 스토리에 고증을 철저히 지키다니 안믿긴다..(진짜 실제인물에 장면 하나하나가 거의 다 사실인건 솔직히 놀랍네요)(영화에 대한 팩트들)1.제작비는 500억이 아니라 1100억이고 2.소니가 진짜로 20년전에 미드웨이 영화화 반대했고3.평론가 평가가 안좋다?..진주만 보다 20점 높은 44점입니다.(전쟁 영화로써 좋은 점수입니다)4.고증이 안좋다?..스토리 고증은 정말 철저하고 전투기 등등의 디테일은 비슷하지만 완전 정확하진 않음5.중국이 나온다?:나옵니다..하지만 역사적 사실이고 일본은 당시에 미군을 도와준 중국을 보복했죠.(영화는 소니의 반대로 뒤늦게 20년만에 독립영화로 만들어졌는데 1100억의 제작비로 이정도로 강렬한 운명의 5분 미드웨이 해전을 보여준건 놀랍네요) ,8,2019.12.31 10:14
780,미드웨이가 재밌으면 추천 백두산이 재밌으면 비추,9,2019.12.31 09:48
781,저 해전이 있었기에 우리나라 광복도 가능 했음,10,2019.12.31 10:41
782,백두산 상영관 대폭줄이고 미드웨이 상영관 대폭늘려라,10,2019.12.31 09:38
783,방금 개봉했는데 1점 준애는 뭐냐 ㅋㅋ 일본놈이냐? 이제 광고돌고 있을 시간이다.,10,2019.12.31 09:14
784,교과서에는 미드웨이 해전에서 미국이 승리했다고 한 줄로 서술되어 있지만 단순히 한 줄로 설명할 수 없는 파란만장했던 전쟁.,10,2019.12.31 19:58
785,스케일 겁나커서 보는내내 입벌리고 봣네욬ㅋㅋ재밋습니다,10,2019.12.31 09:29
786,안보면후회함 백두산보다낫다,10,2019.12.31 09:52
787,재밌으면 추천 재미없으면 비추천 눌러주십쇼 형님들,10,2019.12.31 09:01
788,일본의 최대 실수는 미국을 건드린거다 그 대가로 원폭 처맞고 멸망함ㅋㅋㅋ지금 하는 짓거리보면 아직 더 맞아야 될듯,10,2019.12.31 16:37
789,아니 에머리히 감독이 스토리에 고증을 철저히 지키다니 안믿긴다..(진짜 실제인물에 장면 하나하나가 거의 다 사실인건 솔직히 놀랍네요)(영화에 대한 팩트들)1.제작비는 500억이 아니라 1100억이고 2.소니가 진짜로 20년전에 미드웨이 영화화 반대했고3.평론가 평가가 안좋다?..진주만 보다 20점 높은 44점입니다.(전쟁 영화로써 좋은 점수입니다)4.고증이 안좋다?..스토리 고증은 정말 철저하고 전투기 등등의 디테일은 비슷하지만 완전 정확하진 않음5.중국이 나온다?:나옵니다..하지만 역사적 사실이고 일본은 당시에 미군을 도와준 중국을 보복했죠.(영화는 소니의 반대로 뒤늦게 20년만에 독립영화로 만들어졌는데 1100억의 제작비로 이정도로 강렬한 운명의 5분 미드웨이 해전을 보여준건 놀랍네요) ,8,2019.12.31 10:14
